FID,COUNT,LISTED_TAX,SCIENTIFIC,COMMON_NAM,Shape__Area,Shape__Length
1,1,1270,Tiliqua adelaidensis,"Pygmy Blue-tongue Lizard, Adelaide Blue-tongue Lizard",19135076665.6094,1235244.59749889
2,1,83091,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum,85121024482.9629,6076221.90026208
3,1,59523,Zanda latirostris,"Carnaby's Black Cockatoo, Short-billed Black-cockatoo",53516492381.8516,13373777.0223783
4,1,68,Zyzomys pedunculatus,"Central Rock-rat, Antina",269834984.121094,92014.1603806252
5,2,"82338
267","Anthochaera phrygia
Burramys parvus","Regent Honeyeater
Mountain Pygmy-possum",541378833.460938,111232.435139988
6,2,"82338
1765","Anthochaera phrygia
Chelonia mydas","Regent Honeyeater
Green Turtle",156830345.289063,50440.5183913282
7,2,"82338
273","Anthochaera phrygia
Gymnobelideus leadbeateri","Regent Honeyeater
Leadbeater's Possum",898784374.007813,218428.109907053
8,2,"82338
744","Anthochaera phrygia
Lathamus discolor","Regent Honeyeater
Swift Parrot",23430024822.3945,4880564.49804819
9,2,"82338
1828","Anthochaera phrygia
Litoria raniformis","Regent Honeyeater
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",153564284.929688,49853.7278613516
10,1,8301,Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",3097727003.45313,524343.3310126
11,1,82338,Anthochaera phrygia,Regent Honeyeater,14374111720.8047,2450542.7618021
12,1,64415,Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",41253062.0546875,25955.2522726451
13,1,1001,Botaurus poiciloptilus,Australasian Bittern,14929885971.6836,3401637.34591962
14,1,267,Burramys parvus,Mountain Pygmy-possum,1973055684.15625,380892.547358006
15,1,25982,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,1803392992.65234,357309.56690905
16,1,1765,Chelonia mydas,Green Turtle,215320216549.708,17084037.4616029
17,1,56791,Craterocephalus fluviatilis,Murray Hardyhead,300802771.324219,96211.4737215584
18,1,1603,Ctenophorus yinnietharra,Yinnietharra Rock-Dragon,1771591076.81641,255935.192342416
19,1,330,Dasyurus geoffroii,"Chuditch, Western Quoll",3729304632.38281,550783.285050281
20,1,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",193379917054.43,15149242.9460752
21,1,333,Dasyurus viverrinus,"Eastern Quoll, Luaner",415153642.96875,89273.4986154488
22,1,1656,Delma torquata,"Adorned Delma, Collared Delma",622808071.359375,164976.666273885
23,2,"934
282","Leipoa ocellata
Macrotis lagotis","Malleefowl
Greater Bilby",11855116319.7383,1717596.48068991
24,2,"934
87645","Leipoa ocellata
Miniopterus orianae bassanii","Malleefowl
Southern Bent-wing Bat",154057787.820313,86050.0010669019
25,2,"934
294","Leipoa ocellata
Myrmecobius fasciatus","Malleefowl
Numbat",1685873712.61328,192075.609489213
26,2,"934
747","Leipoa ocellata
Neophema chrysogaster","Malleefowl
Orange-bellied Parrot",531461961.308594,223019.780372581
27,1,5481,Dichanthium queenslandicum,King Blue-grass,3950398744.85156,920942.835683572
28,1,66752,Dryococelus australis,"Lord Howe Island Phasmid, Land Lobster",72864093.5234375,48445.8701870893
29,1,942,Erythrotriorchis radiatus,Red Goshawk,126354847833.541,18256377.9096199
30,1,87879,Galaxias tantangara,Stocky Galaxias,76441810.546875,38599.4903565088
31,1,273,Gymnobelideus leadbeateri,Leadbeater's Possum,4970168358.57813,425324.419398805
32,1,744,Lathamus discolor,Swift Parrot,29566919945.6563,4883599.10476957
33,1,934,Leipoa ocellata,Malleefowl,1307155828206.55,48769646.9469715
34,1,1767,Lepidochelys olivacea,"Olive Ridley Turtle, Pacific Ridley Turtle",127704396.296875,90415.3208069804
35,1,83160,Liopholis kintorei,"Great Desert Skink, Tjakura, Warrarna, Mulyamiji",112821529240.779,7931509.11360106
36,1,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",4051959476.88672,1002607.88887488
37,1,282,Macrotis lagotis,Greater Bilby,130018669360.51,8796689.89275903
38,1,11843,Macrozamia macdonnellii,MacDonnell Ranges Cycad,810459861.179688,115328.258052934
39,2,"82338
85104","Anthochaera phrygia
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Regent Honeyeater
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",56748816502.1914,6983423.05742087
40,2,"1001
82338","Botaurus poiciloptilus
Anthochaera phrygia","Australasian Bittern
Regent Honeyeater",1004966824.56641,387719.873629929
41,2,"1001
744","Botaurus poiciloptilus
Lathamus discolor","Australasian Bittern
Swift Parrot",2662773928.62891,940765.751893341
42,2,"1001
934","Botaurus poiciloptilus
Leipoa ocellata","Australasian Bittern
Malleefowl",10415072686.8477,2543962.02694271
43,2,"1001
1828","Botaurus poiciloptilus
Litoria raniformis","Australasian Bittern
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",563635679.609375,221687.28028712
44,2,"1001
449","Botaurus poiciloptilus
Manorina melanotis","Australasian Bittern
Black-eared Miner",37512838.2890625,24611.291834211
45,2,"1001
87645","Botaurus poiciloptilus
Miniopterus orianae bassanii","Australasian Bittern
Southern Bent-wing Bat",232760885.089844,139296.814494762
46,2,"1001
747","Botaurus poiciloptilus
Neophema chrysogaster","Australasian Bittern
Orange-bellied Parrot",228634078.898438,101837.864205884
47,2,"1001
22","Botaurus poiciloptilus
Neophoca cinerea","Australasian Bittern
Australian Sea-lion, Australian Sea Lion",112271774.511719,60282.6902554664
48,2,"1001
847","Botaurus poiciloptilus
Numenius madagascariensis","Australasian Bittern
Eastern Curlew, Far Eastern Curlew",281417232.359375,87264.1390141309
49,2,"1001
906","Botaurus poiciloptilus
Pedionomus torquatus","Australasian Bittern
Plains-wanderer",19625489158.4492,3682341.50532144
50,2,"934
906","Leipoa ocellata
Pedionomus torquatus","Malleefowl
Plains-wanderer",20563377748.2031,3654248.68518984
51,1,449,Manorina melanotis,Black-eared Miner,1386888696.10938,664091.311605792
52,1,87645,Miniopterus orianae bassanii,Southern Bent-wing Bat,77028863.203125,38810.4339256995
53,1,747,Neophema chrysogaster,Orange-bellied Parrot,55637828443.7852,3778620.19809074
54,1,22,Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",214372722774.539,9725087.21244471
55,1,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",15256410293.3096,3194883.7994154
56,1,86648,Olearia arckaringensis,Arckaringa Daisy,1119686682.88672,164492.995253688
57,1,906,Pedionomus torquatus,Plains-wanderer,189075054046.441,12513944.4352353
58,1,59350,Pezoporus occidentalis,Night Parrot,445445591812.572,18309005.3805304
59,1,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",287436015936.076,24345994.1547101
60,1,758,Polytelis alexandrae,"Princess Parrot, Alexandra's Parrot",211787458929.99,15589715.8603388
61,1,60756,Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",7656574793.08398,1968558.04695294
62,1,720,Psephotus chrysopterygius,"Golden-shouldered Parrot, Alwal, Thaku, Arrmorral, Minpin",3755533482.67773,376296.513566195
63,1,1915,Pseudophryne corroboree,Southern Corroboree Frog,191747418.820313,63609.0831446847
64,1,185,Pteropus conspicillatus,Spectacled Flying-fox,32560552.1933594,22831.8057960615
65,1,56792,Scaturiginichthys vermeilipinnis,"Redfin Blue Eye, Redfin Blue-eye",503886156.667969,92812.0863938562
66,1,87597,Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna,229205046.566406,85707.475060762
67,1,90381,Thinornis cucullatus cucullatus,"Eastern Hooded Plover, Eastern Hooded Plover",16173006989.082,4127717.74573072
68,2,"934
22","Leipoa ocellata
Neophoca cinerea","Malleefowl
Australian Sea-lion, Australian Sea Lion",7239105688.77734,1895227.45733705
69,2,"1001
85104","Botaurus poiciloptilus
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Australasian Bittern
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",6869225450.60547,1866632.97202937
70,2,"1001
87597","Botaurus poiciloptilus
Tachyglossus aculeatus multiaculeatus","Australasian Bittern
Kangaroo Island Echidna",1070089760.90625,188518.494988391
71,2,"330
282","Dasyurus geoffroii
Macrotis lagotis","Chuditch, Western Quoll
Greater Bilby",1149131149.42969,142439.216818701
72,2,"331
1765","Dasyurus hallucatus
Chelonia mydas","Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]
Green Turtle",721826517.068359,343686.47438703
73,2,"331
5481","Dasyurus hallucatus
Dichanthium queenslandicum","Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]
King Blue-grass",975303584.828125,347120.231717691
74,2,"331
60756","Dasyurus hallucatus
Pristis pristis","Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]
Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",1036510525.55859,453932.42259013
75,2,"331
185","Dasyurus hallucatus
Pteropus conspicillatus","Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]
Spectacled Flying-fox",32569758.4902344,22835.1138583148
76,2,"66752
1765","Dryococelus australis
Chelonia mydas","Lord Howe Island Phasmid, Land Lobster
Green Turtle",72864093.53125,48445.8701870889
77,2,"942
8301","Erythrotriorchis radiatus
Acacia peuce","Red Goshawk
Waddy, Waddi, Waddy-wood, Birdsville Wattle",842277441.539063,256575.178732118
78,2,"942
331","Erythrotriorchis radiatus
Dasyurus hallucatus","Red Goshawk
Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",222522974249.318,15620008.3488817
79,2,"942
83160","Erythrotriorchis radiatus
Liopholis kintorei","Red Goshawk
Great Desert Skink, Tjakura, Warrarna, Mulyamiji",134130353.558594,46362.1676641745
80,2,"942
282","Erythrotriorchis radiatus
Macrotis lagotis","Red Goshawk
Greater Bilby",1243099983.59961,398965.217370846
81,2,"942
85104","Erythrotriorchis radiatus
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Red Goshawk
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",1462686512.98438,444398.963526228
82,2,"934
744","Leipoa ocellata
Lathamus discolor","Malleefowl
Swift Parrot",3513546985.98047,1111665.15932495
83,2,"934
83160","Leipoa ocellata
Liopholis kintorei","Malleefowl
Great Desert Skink, Tjakura, Warrarna, Mulyamiji",86559537145.3555,5151076.64452418
84,2,"934
1828","Leipoa ocellata
Litoria raniformis","Malleefowl
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",5000036503.33984,1560377.63565712
85,2,"449
906","Manorina melanotis
Pedionomus torquatus","Black-eared Miner
Plains-wanderer",303300032.179688,164643.37577916
86,2,"747
82338","Neophema chrysogaster
Anthochaera phrygia","Orange-bellied Parrot
Regent Honeyeater",515483910.34375,166509.805391334
87,2,"747
56791","Neophema chrysogaster
Craterocephalus fluviatilis","Orange-bellied Parrot
Murray Hardyhead",37924248.3710938,24759.122264056
88,2,"747
744","Neophema chrysogaster
Lathamus discolor","Orange-bellied Parrot
Swift Parrot",2193631387.66406,547194.352995468
89,2,"747
1828","Neophema chrysogaster
Litoria raniformis","Orange-bellied Parrot
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",75871893.2851563,49526.6515152935
90,2,"747
87645","Neophema chrysogaster
Miniopterus orianae bassanii","Orange-bellied Parrot
Southern Bent-wing Bat",79309147.90625,36512.8206574983
91,2,"747
22","Neophema chrysogaster
Neophoca cinerea","Orange-bellied Parrot
Australian Sea-lion, Australian Sea Lion",274179932.03125,100741.184922719
92,2,"747
83504","Neophema chrysogaster
Zearaja maugeana","Orange-bellied Parrot
Maugean Skate, Port Davey Skate",755113062.210938,131063.132683492
93,2,"22
1765","Neophoca cinerea
Chelonia mydas","Australian Sea-lion, Australian Sea Lion
Green Turtle",29741195426.1914,1861052.31144921
94,2,"22
87597","Neophoca cinerea
Tachyglossus aculeatus multiaculeatus","Australian Sea-lion, Australian Sea Lion
Kangaroo Island Echidna",76345646.8867188,38564.9363794327
95,2,"942
60756","Erythrotriorchis radiatus
Pristis pristis","Red Goshawk
Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",3900747315.82422,1194007.67211993
96,2,"942
185","Erythrotriorchis radiatus
Pteropus conspicillatus","Red Goshawk
Spectacled Flying-fox",779983382.789063,228677.26875539
97,2,"942
83091","Erythrotriorchis radiatus
Trichosurus vulpecula arnhemensis","Red Goshawk
Northern Brushtail Possum",18228441307.8438,3600761.3248482
98,2,"744
64415","Lathamus discolor
Astacopsis gouldi","Swift Parrot
Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",6841983949.78906,971702.376497375
99,2,"744
267","Lathamus discolor
Burramys parvus","Swift Parrot
Mountain Pygmy-possum",77684791.6484375,39046.1261651601
100,2,"744
333","Lathamus discolor
Dasyurus viverrinus","Swift Parrot
Eastern Quoll, Luaner",14754415403.5156,2282183.94359296
101,2,"744
26167","Lathamus discolor
Galaxias fontanus","Swift Parrot
Swan Galaxias",458615815.296875,156692.533086993
102,2,"744
273","Lathamus discolor
Gymnobelideus leadbeateri","Swift Parrot
Leadbeater's Possum",1216888689.67969,287895.839319689
103,2,"744
1828","Lathamus discolor
Litoria raniformis","Swift Parrot
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",6661354023.63281,1459355.87141017
104,2,"744
64420","Lathamus discolor
Megascolides australis","Swift Parrot
Giant Gippsland Earthworm",79007088.84375,50653.209427369
105,2,"744
85104","Lathamus discolor
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Swift Parrot
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",13398399145.6523,2898238.80563368
106,2,"934
82338","Leipoa ocellata
Anthochaera phrygia","Malleefowl
Regent Honeyeater",1006284993.6875,519623.715644638
107,2,"934
25982","Leipoa ocellata
Calyptorhynchus banksii graptogyne","Malleefowl
South-eastern Red-tailed Black-Cockatoo",2390230655.77344,513379.905000857
108,2,"934
1765","Leipoa ocellata
Chelonia mydas","Malleefowl
Green Turtle",2284216862.07031,451508.552315137
109,2,"934
56791","Leipoa ocellata
Craterocephalus fluviatilis","Malleefowl
Murray Hardyhead",487966146.144531,232708.895561534
110,2,"934
330","Leipoa ocellata
Dasyurus geoffroii","Malleefowl
Chuditch, Western Quoll",12093823845.1328,1409976.39430797
111,2,"1001
90381","Botaurus poiciloptilus
Thinornis cucullatus cucullatus","Australasian Bittern
Eastern Hooded Plover, Eastern Hooded Plover",4099482882.40625,807718.557721715
112,2,"1001
59523","Botaurus poiciloptilus
Zanda latirostris","Australasian Bittern
Carnaby's Black Cockatoo, Short-billed Black-cockatoo",413318357.359375,196979.840003132
113,2,"25982
744","Calyptorhynchus banksii graptogyne
Lathamus discolor","South-eastern Red-tailed Black-Cockatoo
Swift Parrot",154309440.050781,86131.5060753061
114,2,"25982
1828","Calyptorhynchus banksii graptogyne
Litoria raniformis","South-eastern Red-tailed Black-Cockatoo
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",230616752.523438,99778.1153037541
115,2,"25982
87645","Calyptorhynchus banksii graptogyne
Miniopterus orianae bassanii","South-eastern Red-tailed Black-Cockatoo
Southern Bent-wing Bat",424096688.335938,177667.100650898
116,2,"1765
1115","Chelonia mydas
Aipysurus apraefrontalis","Green Turtle
Short-nosed Seasnake",29925433381.998,3980860.43823373
117,2,"1765
68751","Chelonia mydas
Carcharias taurus (east coast population)","Green Turtle
Grey Nurse Shark (east coast population)",35498140652.9883,3200556.46325152
118,2,"1765
1767","Chelonia mydas
Lepidochelys olivacea","Green Turtle
Olive Ridley Turtle, Pacific Ridley Turtle",428541405335.578,28116064.8091842
119,2,"1765
60756","Chelonia mydas
Pristis pristis","Green Turtle
Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",12366560570.7676,1998468.81479042
120,2,"847
942","Numenius madagascariensis
Erythrotriorchis radiatus","Eastern Curlew, Far Eastern Curlew
Red Goshawk",1146352389,620794.7056367
121,2,"847
934","Numenius madagascariensis
Leipoa ocellata","Eastern Curlew, Far Eastern Curlew
Malleefowl",2726625525.05859,947389.88350202
122,2,"847
282","Numenius madagascariensis
Macrotis lagotis","Eastern Curlew, Far Eastern Curlew
Greater Bilby",1010367230.93359,366658.639653112
123,2,"847
22","Numenius madagascariensis
Neophoca cinerea","Eastern Curlew, Far Eastern Curlew
Australian Sea-lion, Australian Sea Lion",1006411243.25391,430416.745576073
124,2,"847
906","Numenius madagascariensis
Pedionomus torquatus","Eastern Curlew, Far Eastern Curlew
Plains-wanderer",36825135.8007813,24364.182322389
125,2,"847
59350","Numenius madagascariensis
Pezoporus occidentalis","Eastern Curlew, Far Eastern Curlew
Night Parrot",66160022.5585938,34150.4091989231
126,2,"847
85104","Numenius madagascariensis
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Eastern Curlew, Far Eastern Curlew
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",34189682.7539063,23417.1950201091
127,2,"282
83091","Macrotis lagotis
Trichosurus vulpecula arnhemensis","Greater Bilby
Northern Brushtail Possum",28793008523.8242,1284923.31046751
128,2,"449
56791","Manorina melanotis
Craterocephalus fluviatilis","Black-eared Miner
Murray Hardyhead",37535217.859375,24619.3334040996
129,2,"449
934","Manorina melanotis
Leipoa ocellata","Black-eared Miner
Malleefowl",52485902378.1602,3670629.53338883
130,2,"59523
22","Zanda latirostris
Neophoca cinerea","Carnaby's Black Cockatoo, Short-billed Black-cockatoo
Australian Sea-lion, Australian Sea Lion",7538941644.92578,2037084.73553199
131,2,"59523
847","Zanda latirostris
Numenius madagascariensis","Carnaby's Black Cockatoo, Short-billed Black-cockatoo
Eastern Curlew, Far Eastern Curlew",37512838.1445313,24611.2917886903
132,2,"59523
84650","Zanda latirostris
Pezoporus flaviventris","Carnaby's Black Cockatoo, Short-billed Black-cockatoo
Western Ground Parrot, Kyloring",37270276.7695313,24524.1331372806
133,2,"59523
64945","Zanda latirostris
Philotheca wonganensis","Carnaby's Black Cockatoo, Short-billed Black-cockatoo
Wongan Eriostemon",252440894.238281,118644.460641531
134,3,"82408
1765
1767","Accipiter hiogaster natalis
Chelonia mydas
Lepidochelys olivacea","Christmas Island Goshawk
Green Turtle
Olive Ridley Turtle, Pacific Ridley Turtle",504097473.477539,100945.882737968
135,2,"906
85104","Pedionomus torquatus
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Plains-wanderer
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",1454781561.88281,463719.464813129
136,2,"906
758","Pedionomus torquatus
Polytelis alexandrae","Plains-wanderer
Princess Parrot, Alexandra's Parrot",1244061506.67969,141295.659733427
137,2,"906
1270","Pedionomus torquatus
Tiliqua adelaidensis","Plains-wanderer
Pygmy Blue-tongue Lizard, Adelaide Blue-tongue Lizard",3195001977.19922,414008.646352682
138,2,"225
85104","Petrogale penicillata
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Brush-tailed Rock-wallaby
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",1866679164.59375,486597.444147505
139,2,"84650
22","Pezoporus flaviventris
Neophoca cinerea","Western Ground Parrot, Kyloring
Australian Sea-lion, Australian Sea Lion",523912296.371094,142853.064547689
140,2,"59350
8301","Pezoporus occidentalis
Acacia peuce","Night Parrot
Waddy, Waddi, Waddy-wood, Birdsville Wattle",2744333890.89844,666312.028622624
141,2,"59350
331","Pezoporus occidentalis
Dasyurus hallucatus","Night Parrot
Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",51111072082.3027,3212383.1567832
142,2,"59350
942","Pezoporus occidentalis
Erythrotriorchis radiatus","Night Parrot
Red Goshawk",15023011009.1895,2967331.25014725
143,2,"59350
83160","Pezoporus occidentalis
Liopholis kintorei","Night Parrot
Great Desert Skink, Tjakura, Warrarna, Mulyamiji",34369059108.7773,2861835.43174856
144,2,"59350
282","Pezoporus occidentalis
Macrotis lagotis","Night Parrot
Greater Bilby",106504137189.436,6914095.80781435
145,2,"85104
198","Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Lasiorhinus krefftii","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
Northern Hairy-nosed Wombat, Yaminon",203949824.511719,81170.0443012736
146,2,"85104
96","Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Pseudomys novaehollandiae","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
New Holland Mouse, Pookila",471158271.722656,157943.439443659
147,2,"85104
56792","Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Scaturiginichthys vermeilipinnis","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
Redfin Blue Eye, Redfin Blue-eye",33612098.0273438,23209.6537202658
148,2,"906
1828","Pedionomus torquatus
Litoria raniformis","Plains-wanderer
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",13857933427.2266,2419074.00234148
149,2,"906
282","Pedionomus torquatus
Macrotis lagotis","Plains-wanderer
Greater Bilby",10704342356.1328,1302499.43853558
150,2,"906
22","Pedionomus torquatus
Neophoca cinerea","Plains-wanderer
Australian Sea-lion, Australian Sea Lion",148264166.859375,48901.4922603914
151,2,"847
60756","Numenius madagascariensis
Pristis pristis","Eastern Curlew, Far Eastern Curlew
Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",291837315.212891,182788.413602789
152,2,"847
90381","Numenius madagascariensis
Thinornis cucullatus cucullatus","Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover",2621381079.65234,852871.286444646
153,2,"847
1270","Numenius madagascariensis
Tiliqua adelaidensis","Eastern Curlew, Far Eastern Curlew
Pygmy Blue-tongue Lizard, Adelaide Blue-tongue Lizard",37423870.3867188,24579.3233415108
154,2,"906
82338","Pedionomus torquatus
Anthochaera phrygia","Plains-wanderer
Regent Honeyeater",115582248.796875,74927.5688555039
155,2,"906
25982","Pedionomus torquatus
Calyptorhynchus banksii graptogyne","Plains-wanderer
South-eastern Red-tailed Black-Cockatoo",307719418.269531,149729.284969135
156,2,"906
56791","Pedionomus torquatus
Craterocephalus fluviatilis","Plains-wanderer
Murray Hardyhead",190047207.992188,123948.672073285
157,2,"906
942","Pedionomus torquatus
Erythrotriorchis radiatus","Plains-wanderer
Red Goshawk",505553983.300781,117195.86349785
158,2,"906
744","Pedionomus torquatus
Lathamus discolor","Plains-wanderer
Swift Parrot",1045765670.98828,356138.322016486
159,2,"934
59350","Leipoa ocellata
Pezoporus occidentalis","Malleefowl
Night Parrot",97684272587.0273,4543214.0913668
160,2,"934
85104","Leipoa ocellata
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Malleefowl
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",27297388269.6641,4444006.83243097
161,2,"934
758","Leipoa ocellata
Polytelis alexandrae","Malleefowl
Princess Parrot, Alexandra's Parrot",128046016438.086,9470455.9350094
162,2,"934
86264","Leipoa ocellata
Prasophyllum laxum","Malleefowl
Lax Leek Orchid",751469364.140625,147837.321386778
163,2,"934
1270","Leipoa ocellata
Tiliqua adelaidensis","Malleefowl
Pygmy Blue-tongue Lizard, Adelaide Blue-tongue Lizard",1908180429.90234,422483.40139491
164,2,"1828
56791","Litoria raniformis
Craterocephalus fluviatilis","Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog
Murray Hardyhead",301087416.164063,174980.27216096
165,2,"1828
87645","Litoria raniformis
Miniopterus orianae bassanii","Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog
Southern Bent-wing Bat",158535518.46875,76112.876700599
166,2,"1828
85104","Litoria raniformis
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",449203580.628906,243567.49310183
167,2,"282
1765","Macrotis lagotis
Chelonia mydas","Greater Bilby
Green Turtle",194755177.5625,125640.367443896
168,2,"282
331","Macrotis lagotis
Dasyurus hallucatus","Greater Bilby
Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",53888709121.6152,2121664.0299282
169,2,"282
83160","Macrotis lagotis
Liopholis kintorei","Greater Bilby
Great Desert Skink, Tjakura, Warrarna, Mulyamiji",47466026259.9688,3116550.52807789
170,2,"282
60756","Macrotis lagotis
Pristis pristis","Greater Bilby
Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",1693743537.89844,376517.516241931
171,2,"847
1765","Numenius madagascariensis
Chelonia mydas","Eastern Curlew, Far Eastern Curlew
Green Turtle",7310098894.72852,1624628.72356861
172,2,"847
331","Numenius madagascariensis
Dasyurus hallucatus","Eastern Curlew, Far Eastern Curlew
Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",4171643994.86328,1500538.02146173
173,2,"758
1765","Polytelis alexandrae
Chelonia mydas","Princess Parrot, Alexandra's Parrot
Green Turtle",128978956.716797,45436.6518469835
174,2,"758
942","Polytelis alexandrae
Erythrotriorchis radiatus","Princess Parrot, Alexandra's Parrot
Red Goshawk",135244243.128906,80960.324606691
175,2,"758
83160","Polytelis alexandrae
Liopholis kintorei","Princess Parrot, Alexandra's Parrot
Great Desert Skink, Tjakura, Warrarna, Mulyamiji",99661238142.3984,5029351.79627228
176,2,"90381
747","Thinornis cucullatus cucullatus
Neophema chrysogaster","Eastern Hooded Plover, Eastern Hooded Plover
Orange-bellied Parrot",17144912930.9336,3814600.12530877
177,2,"90381
22","Thinornis cucullatus cucullatus
Neophoca cinerea","Eastern Hooded Plover, Eastern Hooded Plover
Australian Sea-lion, Australian Sea Lion",21220291518.2852,5179998.92444815
178,2,"758
282","Polytelis alexandrae
Macrotis lagotis","Princess Parrot, Alexandra's Parrot
Greater Bilby",31436712940.8242,2101566.44375941
179,2,"758
11843","Polytelis alexandrae
Macrozamia macdonnellii","Princess Parrot, Alexandra's Parrot
MacDonnell Ranges Cycad",3317884909.98438,813094.586675978
180,2,"758
68","Polytelis alexandrae
Zyzomys pedunculatus","Princess Parrot, Alexandra's Parrot
Central Rock-rat, Antina",5067024365.23828,968124.041113845
181,2,"720
942","Psephotus chrysopterygius
Erythrotriorchis radiatus","Golden-shouldered Parrot, Alwal, Thaku, Arrmorral, Minpin
Red Goshawk",19774962259.6035,1385007.08158157
182,2,"1915
85104","Pseudophryne corroboree
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Southern Corroboree Frog
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",191674341.195313,88505.2397244102
183,2,"90381
82338","Thinornis cucullatus cucullatus
Anthochaera phrygia","Eastern Hooded Plover, Eastern Hooded Plover
Regent Honeyeater",1139271597.91406,270974.672664763
